text,label
"Government announces new education policy for students",REAL
"Aliens landed in New York yesterday",FAKE
"Scientists discovered new cancer treatment",REAL
"Actor adopts invisible dragon as pet",FAKE
"Stock market reaches new high this week",REAL
"Man claims he can live without food for 10 years",FAKE
"New AI technology improves healthcare systems",REAL
"Moon made of cheese confirms scientist",FAKE
"Government launches new education policy",REAL
"Scientists discover new cancer treatment",REAL
"Stock market reaches record high",REAL
"New AI system improves healthcare",REAL
"NASA launches satellite successfully",REAL
"India wins international cricket match",REAL
"Researchers develop clean energy solution",REAL
"New smartphone released with advanced features",REAL
"Aliens landed in New York yesterday",FAKE
"Man claims he can live without food for 20 years",FAKE
"Moon made entirely of cheese confirms scientist",FAKE
"Dragon spotted flying over London",FAKE
"Time traveler predicts end of world tomorrow",FAKE
"Invisible dinosaur found in forest",FAKE
"Scientist says humans can breathe underwater naturally",FAKE
"Ghost elected as president of country",FAKE